"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"39","EchPur","GH","Jacob7",NA,"Jacob","F","A",1,"Black",NA,20,240,247,7,0.4656,0.5887,"Y","",50,"N",138.226045047379,2764.52090094758
"40","EchPur","GH","TWA83",NA,"TWA","M","A",1,"Black",NA,13,238,239,1,0.5258,0.5807,"Y","",51,"N",138.226045047379,1796.93858561592
"41","EchPur","GH","VH13","VH",NA,"F","A",1,"White",NA,16,240,241,1,0.5293,0.6416,"N","",51,"N",138.226045047379,2211.61672075806
"42","EchPur","GH","PCD44",NA,"PCD","F","A",1,"White",NA,14,237,238,1,0.4567,0.5291,"Y","",48,"Y",138.226045047379,1935.1646306633
"43","EchPur","GH","MVD50",NA,"MVD","M","A",1,"Black",NA,13,238,243,5,0.4096,0.4965,"Y","",46,"N",138.226045047379,1796.93858561592
"44","EchPur","GH","PCD44",NA,"PCD","F","A",1,"White",NA,14,237,242,5,0.4287,0.5291,"Y","",48,"Y",138.226045047379,1935.1646306633
"45","EchPur","GH","PCD44",NA,"PCD","F","A",1,"White",NA,14,237,244,7,0.4005,0.5291,"Y","",48,"Y",138.226045047379,1935.1646306633
"46","EchPur","GH","PCD4",NA,"PCD","M","A",1,"Black",NA,11,238,239,1,0.4796,0.5061,"Y","",47,"N",138.226045047379,1520.48649552117
"47","EchPur","GH","VH25","VH",NA,"M","B",1,"Black",NA,15,244,244,0,0.5938,0.5938,"N","",48,"N",138.226045047379,2073.39067571068
"48","EchPur","GH","VH25","VH",NA,"M","B",1,"Black",NA,15,244,249,5,0.4626,0.5938,"N","",48,"N",138.226045047379,2073.39067571068
"49","EchPur","GH","PCD4",NA,"PCD","M","A",1,"Black",NA,11,238,238,0,0.5061,0.5061,"Y","",47,"N",138.226045047379,1520.48649552117
"50","EchPur","GH","PCD44",NA,"PCD","F","A",1,"White",NA,14,237,237,0,0.5291,0.5291,"Y","",48,"Y",138.226045047379,1935.1646306633
"51","EchPur","GH","Jacob7",NA,"Jacob","F","A",1,"Black",NA,20,240,245,5,0.459,0.5887,"Y","",50,"N",138.226045047379,2764.52090094758
"52","EchPur","GH","Jacob13",NA,"Jacob","M","A",1,"Black",NA,15,237,242,5,0.5537,0.7614,"Y","",50,"N",138.226045047379,2073.39067571068
"53","EchPur","GH","PCD4",NA,"PCD","M","A",1,"Black",NA,11,238,245,7,0.3874,0.5061,"Y","",47,"N",138.226045047379,1520.48649552117
"54","EchPur","GH","MVD77",NA,"MVD","M","A",1,"Black",NA,12,237,237,0,0.5447,0.5447,"Y","",48,"N",138.226045047379,1658.71254056855
"55","EchPur","GH","Unknown1",NA,NA,"M","B",1,"Black",NA,13,253,256,3,0.3822,0.4546,"N","",NA,NA,138.226045047379,1796.93858561592
"56","EchPur","GH","VH13","VH",NA,"F","A",1,"White",NA,16,240,247,7,0.4766,0.6416,"N","",51,"N",138.226045047379,2211.61672075806
"57","EchPur","GH","Unknown1",NA,NA,"M","B",1,"Black",NA,13,253,260,7,NA,0.4546,"N","",NA,NA,138.226045047379,1796.93858561592
"58","EchPur","GH","PCD4",NA,"PCD","M","A",1,"Black",NA,11,238,243,5,0.4766,0.5061,"Y","",47,"N",138.226045047379,1520.48649552117
"59","EchPur","GH","VH25","VH",NA,"M","B",1,"Black",NA,15,244,254,10,0.5302,0.5938,"N","",48,"N",138.226045047379,2073.39067571068
"60","EchPur","GH","TWA14",NA,"TWA","M","A",1,"Black",NA,12,238,239,1,0.3709,0.4753,"N","",44,"N",138.226045047379,1658.71254056855
"61","EchPur","GH","MVD77",NA,"MVD","M","A",1,"Black",NA,12,237,244,7,0.4651,0.5447,"Y","",48,"N",138.226045047379,1658.71254056855
"62","EchPur","GH","VH13","VH",NA,"F","A",1,"White",NA,16,240,240,0,0.6416,0.6416,"N","",51,"N",138.226045047379,2211.61672075806
"63","EchPur","GH","VH25","VH",NA,"M","B",1,"Black",NA,15,244,245,1,0.5108,0.5938,"N","",48,"N",138.226045047379,2073.39067571068
"64","EchPur","GH","MVD77",NA,"MVD","M","A",1,"Black",NA,12,237,242,5,0.5044,0.5447,"Y","",48,"N",138.226045047379,1658.71254056855
"65","EchPur","GH","TWA14",NA,"TWA","M","A",1,"Black",NA,12,238,238,0,0.4753,0.4753,"N","",44,"N",138.226045047379,1658.71254056855
"66","EchPur","GH","MVD77",NA,"MVD","M","A",1,"Black",NA,12,237,238,1,0.4927,0.5447,"Y","",48,"N",138.226045047379,1658.71254056855
"67","EutMac","Field","MVD2",NA,"MVD","F","AF",2,"FBlack","JPB",12,238,238,0,0.5062,0.5062,"N","",49,"N",5250.43384620175,63005.206154421
"68","EutMac","Field","VH17","VH",NA,"F","BF",1,"FBlack","JPC",14,246,251,5,0.4068,0.5321,"N","",48,"N",5250.43384620175,73506.0738468244
"69","EutMac","Field","VH10","VH",NA,"F","BF",2,"FBlack","JPA",14,244,251,7,0.4625,0.5959,"N","",51,"N",5250.43384620175,73506.0738468244
"70","EutMac","Field","VH21","VH",NA,"M","BF",1,"FBlack","JPB",NA,246,247,1,0.51,0.5852,"N","",49,"N",5250.43384620175,NA
"71","EutMac","Field","VH10","VH",NA,"F","BF",2,"FBlack","JPA",14,244,249,5,0.4832,0.5959,"N","",51,"N",5250.43384620175,73506.0738468244
"72","EutMac","Field","VH20","VH",NA,"F","BF",2,"FBlack","JPA",14,244,249,5,0.46,0.5953,"N","",45,"N",5250.43384620175,73506.0738468244
"73","EutMac","Field","VH10","VH",NA,"F","BF",2,"FBlack","JPA",14,244,254,10,0.3888,0.5959,"N","",51,"N",5250.43384620175,73506.0738468244
