"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"162","SolAlt","Field","TWA66",NA,"TWA","F","AF",1,"FBlack","GRD",27,237,244,7,0.3451,0.4631,"N","",46,"N",954.230592368788,25764.2259939573
"163","SolAlt","Field","Jacob14",NA,"Jacob","M","AF",1,"FBrown","GRH",177,238,243,5,0.5413,0.6227,"N","",50,"N",954.230592368788,168898.814849275
"164","SolAlt","Field","Jacob8",NA,"Jacob","M","AF",1,"FBlack","GRB",57,238,243,5,0.4482,0.7329,"N","",49,"N",954.230592368788,54391.1437650209
"165","SolAlt","Field","Jacob11",NA,"Jacob","F","AF",2,"FBlack","GRG",86,238,243,5,0.4453,0.538,"N","",47,"N",954.230592368788,82063.8309437157
"166","SolAlt","Field","MVD6",NA,"MVD","F","AF",1,"FBrown","GRA",162,238,245,7,0.3776,0.498,"N","",47,"N",954.230592368788,154585.355963744
"167","SolAlt","Field","Jacob11",NA,"Jacob","F","AF",2,"FBlack","GRG",86,238,245,7,0.4207,0.538,"N","",47,"N",954.230592368788,82063.8309437157
"168","SolAlt","Field","MVD6",NA,"MVD","F","AF",1,"FBrown","GRA",162,238,239,1,0.4209,0.498,"N","",47,"N",954.230592368788,154585.355963744
"169","SolAlt","Field","Jacob8",NA,"Jacob","M","AF",1,"FBlack","GRB",57,238,245,7,NA,0.7329,"N","",49,"N",954.230592368788,54391.1437650209
"170","SolAlt","Field","VH27","VH",NA,"F","AF",2,"FBlack","GRG",86,238,238,0,0.6191,0.6191,"N","",51,"N",954.230592368788,82063.8309437157
"171","SolAlt","Field","Jacob14",NA,"Jacob","M","AF",1,"FBrown","GRH",177,238,245,7,0.5101,0.6227,"N","",50,"N",954.230592368788,168898.814849275
"172","SolAlt","Field","VH14","VH",NA,"M","BF",1,"FBlack","GRD",36,244,245,1,0.5329,0.5665,"Y","",49,"N",954.230592368788,34352.3013252764
"173","SolAlt","Field","MVD6",NA,"MVD","F","AF",1,"FBrown","GRA",162,238,243,5,0.4163,0.498,"N","",47,"N",954.230592368788,154585.355963744
"174","SolAlt","Field","VH14","VH",NA,"M","BF",1,"FBlack","GRD",36,244,251,7,0.4646,0.5665,"Y","",49,"N",954.230592368788,34352.3013252764
"175","SolAlt","Field","VH14","VH",NA,"M","BF",1,"FBlack","GRD",36,244,254,10,0.4166,0.5665,"Y","",49,"N",954.230592368788,34352.3013252764
"176","SolAlt","Field","TWA81",NA,"TWA","F","AF",2,"FBlack","GRF",116,238,238,0,0.6441,0.6441,"N","",46,"N",954.230592368788,110690.748714779
"177","SolAlt","Field","Jacob14",NA,"Jacob","M","AF",1,"FBrown","GRH",177,238,239,1,0.562,0.6227,"N","",50,"N",954.230592368788,168898.814849275
"178","SolAlt","Field","MVD24",NA,"MVD","F","AF",2,"FBlack","GRF",116,238,238,0,0.5294,0.5294,"N","",47,"N",954.230592368788,110690.748714779
"179","SolAlt","Field","TWA66",NA,"TWA","F","AF",1,"FBlack","GRD",27,237,238,1,0.3961,0.4631,"N","",46,"N",954.230592368788,25764.2259939573
"180","SolAlt","Field","TWA66",NA,"TWA","F","AF",1,"FBlack","GRD",27,237,242,5,0.3214,0.4631,"N","",46,"N",954.230592368788,25764.2259939573
"181","SolAlt","Field","MVD6",NA,"MVD","F","AF",1,"FBrown","GRA",162,238,238,0,0.498,0.498,"N","",47,"N",954.230592368788,154585.355963744
"182","SolAlt","Field","TWA66",NA,"TWA","F","AF",1,"FBlack","GRD",27,237,237,0,0.4631,0.4631,"N","",46,"N",954.230592368788,25764.2259939573
"183","SolAlt","Field","MVD22",NA,"MVD","F","AF",2,"FBlack","GRE",50,239,239,0,0.5668,0.5668,"N","",49,"N",954.230592368788,47711.5296184394
"184","SolAlt","Field","MVD22",NA,"MVD","F","AF",2,"FBlack","GRE",50,239,240,1,0.5239,0.5668,"N","",49,"N",954.230592368788,47711.5296184394
"185","SolAlt","Field","VH14","VH",NA,"M","BF",1,"FBlack","GRD",36,244,244,0,0.5665,0.5665,"Y","",49,"N",954.230592368788,34352.3013252764
"186","SolAlt","Field","Jacob6",NA,"Jacob","M","AF",1,"FBlack","GRC",45,237,237,0,0.6021,0.6021,"N","",44,"N",954.230592368788,42940.3766565955
"187","SolAlt","Field","S476",NA,"S47","M","BF",1,"FBlack","GRG",19,247,247,0,0.7027,0.7027,"N","",53,"N",954.230592368788,18130.381255007
"188","SolAlt","Field","MVD24",NA,"MVD","F","AF",2,"FBlack","GRF",116,238,239,1,0.465,0.5294,"N","",47,"N",954.230592368788,110690.748714779
"189","SolAlt","Field","MVD22",NA,"MVD","F","AF",2,"FBlack","GRE",50,239,244,5,0.4571,0.5668,"N","",49,"N",954.230592368788,47711.5296184394
"190","SolAlt","Field","MVD22",NA,"MVD","F","AF",2,"FBlack","GRE",50,239,246,7,0.433,0.5668,"N","",49,"N",954.230592368788,47711.5296184394
"191","SolAlt","Field","Jacob14",NA,"Jacob","M","AF",1,"FBrown","GRH",177,238,238,0,0.6227,0.6227,"N","",50,"N",954.230592368788,168898.814849275
"192","SolAlt","Field","VH14","VH",NA,"M","BF",1,"FBlack","GRD",36,244,249,5,0.475,0.5665,"Y","",49,"N",954.230592368788,34352.3013252764
"193","SolAlt","Field","TWA31",NA,"TWA","F","AF",2,"FBlack","GRE",50,239,240,1,0.4276,0.4694,"N","",47,"N",954.230592368788,47711.5296184394
"194","SolAlt","Field","Jacob8",NA,"Jacob","M","AF",1,"FBlack","GRB",57,238,239,1,0.6511,0.7329,"N","",49,"N",954.230592368788,54391.1437650209
"195","SolAlt","Field","VH27","VH",NA,"F","AF",2,"FBlack","GRG",86,238,243,5,0.5106,0.6191,"N","",51,"N",954.230592368788,82063.8309437157
"196","SolAlt","Field","TWA81",NA,"TWA","F","AF",2,"FBlack","GRF",116,238,239,1,0.5445,0.6441,"N","",46,"N",954.230592368788,110690.748714779
"197","SolAlt","Field","TWA81",NA,"TWA","F","AF",2,"FBlack","GRF",116,238,243,5,0.5257,0.6441,"N","",46,"N",954.230592368788,110690.748714779
"198","SolAlt","Field","VH27","VH",NA,"F","AF",2,"FBlack","GRG",86,238,239,1,0.5321,0.6191,"N","",51,"N",954.230592368788,82063.8309437157
"199","SolAlt","Field","TWA31",NA,"TWA","F","AF",2,"FBlack","GRE",50,239,246,7,0.3825,0.4694,"N","",47,"N",954.230592368788,47711.5296184394
"200","SolAlt","Field","MVD24",NA,"MVD","F","AF",2,"FBlack","GRF",116,238,245,7,0.4335,0.5294,"N","",47,"N",954.230592368788,110690.748714779
"201","SolAlt","Field","TWA31",NA,"TWA","F","AF",2,"FBlack","GRE",50,239,239,0,0.4694,0.4694,"N","",47,"N",954.230592368788,47711.5296184394
"202","SolAlt","Field","TWA31",NA,"TWA","F","AF",2,"FBlack","GRE",50,239,244,5,0.3586,0.4694,"N","",47,"N",954.230592368788,47711.5296184394
"203","SolAlt","Field","Jacob8",NA,"Jacob","M","AF",1,"FBlack","GRB",57,238,238,0,0.7329,0.7329,"N","",49,"N",954.230592368788,54391.1437650209
"204","SolAlt","Field","Jacob6",NA,"Jacob","M","AF",1,"FBlack","GRC",45,237,244,7,0.4347,0.6021,"N","",44,"N",954.230592368788,42940.3766565955
"205","SolAlt","Field","VH19","VH",NA,"F","BF",1,"FBlack","GRC",29,244,249,5,0.4594,0.609,"N","",48,"Y",954.230592368788,27672.6871786948
"206","SolAlt","Field","Jacob6",NA,"Jacob","M","AF",1,"FBlack","GRC",45,237,238,1,0.5218,0.6021,"N","",44,"N",954.230592368788,42940.3766565955
"207","SolAlt","Field","Jacob6",NA,"Jacob","M","AF",1,"FBlack","GRC",45,237,242,5,0.4336,0.6021,"N","",44,"N",954.230592368788,42940.3766565955
"208","SolAlt","Field","MVD24",NA,"MVD","F","AF",2,"FBlack","GRF",116,238,243,5,0.4493,0.5294,"N","",47,"N",954.230592368788,110690.748714779
"209","SolAlt","Field","S476",NA,"S47","M","BF",1,"FBlack","GRG",19,247,254,7,0.497,0.7027,"N","",53,"N",954.230592368788,18130.381255007
"210","SolAlt","Field","VH19","VH",NA,"F","BF",1,"FBlack","GRC",29,244,251,7,0.4384,0.609,"N","",48,"Y",954.230592368788,27672.6871786948
"211","SolAlt","Field","VH19","VH",NA,"F","BF",1,"FBlack","GRC",29,244,254,10,0.3172,0.609,"N","",48,"Y",954.230592368788,27672.6871786948
"212","SolAlt","Field","S476",NA,"S47","M","BF",1,"FBlack","GRG",19,247,248,1,0.6213,0.7027,"N","",53,"N",954.230592368788,18130.381255007
"213","SolAlt","Field","VH19","VH",NA,"F","BF",1,"FBlack","GRC",29,244,244,0,0.609,0.609,"N","",48,"Y",954.230592368788,27672.6871786948
"214","SolAlt","Field","VH19","VH",NA,"F","BF",1,"FBlack","GRC",29,244,245,1,0.5699,0.609,"N","",48,"Y",954.230592368788,27672.6871786948
"215","SolAlt","Field","VH27","VH",NA,"F","AF",2,"FBlack","GRG",86,238,245,7,0.4916,0.6191,"N","",51,"N",954.230592368788,82063.8309437157
"216","SolAlt","Field","S476",NA,"S47","M","BF",1,"FBlack","GRG",19,247,252,5,0.5238,0.7027,"N","",53,"N",954.230592368788,18130.381255007
"217","SolAlt","Field","TWA81",NA,"TWA","F","AF",2,"FBlack","GRF",116,238,245,7,0.5053,0.6441,"N","",46,"N",954.230592368788,110690.748714779
"218","SolAlt","GH","MVD47",NA,"MVD","M","A",1,"Black",NA,7,237,238,1,0.5572,0.6668,"N","D3 broken/damaged forewing",50,"N",1090.6265091608,7634.38556412562
"219","SolAlt","GH","PCD90",NA,"PCD","M","A",1,"Black",NA,5,236,241,5,0.3765,0.5878,"Y","D4+D5 feeding; Newest method of counting just single flowering heads",46,"N",1090.6265091608,5453.13254580401
"220","SolAlt","GH","MVD71",NA,"MVD","M","A",1,"Black",NA,3,238,243,5,0.498,0.6685,"Y","Newest method; D3 + D4 feeding",48,"N",1090.6265091608,3271.87952748241
"221","SolAlt","GH","VH11","VH",NA,"M","B",1,"Black",NA,5,244,249,5,0.4484,0.6462,"N","",46,"Y",1090.6265091608,5453.13254580401
"222","SolAlt","GH","TWA60",NA,"TWA","F","A",1,"Black",NA,34,233,233,0,0.5399,0.5399,"Y","D7 feeding",48,"N",1090.6265091608,37081.3013114673
"223","SolAlt","GH","TWA60",NA,"TWA","F","A",1,"Black",NA,34,233,240,7,0.4273,0.5399,"Y","D7 feeding",48,"N",1090.6265091608,37081.3013114673
"224","SolAlt","GH","MVD65",NA,"MVD","F","A",1,"Black",NA,37,235,240,5,0.3527,0.5305,"Y","Feeding days 4 and 5, Method used to count flowers was not whole heads, counted branched heads as distinct ones",47,"N",1090.6265091608,40353.1808389497
"225","SolAlt","GH","MVD71",NA,"MVD","M","A",1,"Black",NA,3,238,238,0,0.6685,0.6685,"Y","Newest method; D3 + D4 feeding",48,"N",1090.6265091608,3271.87952748241
"226","SolAlt","GH","MVD47",NA,"MVD","M","A",1,"Black",NA,7,237,242,5,0.5107,0.6668,"N","D3 broken/damaged forewing",50,"N",1090.6265091608,7634.38556412562
"227","SolAlt","GH","MVD71",NA,"MVD","M","A",1,"Black",NA,3,238,239,1,0.5691,0.6685,"Y","Newest method; D3 + D4 feeding",48,"N",1090.6265091608,3271.87952748241
"228","SolAlt","GH","VH18","VH",NA,"M","B",1,"Black",NA,6,241,242,1,0.4532,0.534,"N","",46,"N",1090.6265091608,6543.75905496481
"229","SolAlt","GH","MVD71",NA,"MVD","M","A",1,"Black",NA,3,238,245,7,0.482,0.6685,"Y","Newest method; D3 + D4 feeding",48,"N",1090.6265091608,3271.87952748241
"230","SolAlt","GH","TWA60",NA,"TWA","F","A",1,"Black",NA,34,233,238,5,0.3649,0.5399,"Y","D7 feeding",48,"N",1090.6265091608,37081.3013114673
"231","SolAlt","GH","TWA38",NA,"TWA","M","A",1,"Black",NA,26,235,235,0,0.5391,0.5391,"Y","Feeding D2, D5, D7; D5 and D7 panicked weighing, cooled in fridge for weighing; Method used to count flowers was not whole heads, counted branched heads as distinct ones",48,"N",1090.6265091608,28356.2892381809
"232","SolAlt","GH","MVD65",NA,"MVD","F","A",1,"Black",NA,37,235,235,0,0.5305,0.5305,"Y","Feeding days 4 and 5, Method used to count flowers was not whole heads, counted branched heads as distinct ones",47,"N",1090.6265091608,40353.1808389497
"233","SolAlt","GH","MVD65",NA,"MVD","F","A",1,"Black",NA,37,235,242,7,0.3106,0.5305,"Y","Feeding days 4 and 5, Method used to count flowers was not whole heads, counted branched heads as distinct ones",47,"N",1090.6265091608,40353.1808389497
"234","SolAlt","GH","TWA28",NA,"TWA","M","A",1,"White",NA,12,235,235,0,0.6449,0.6449,"N","D0 Observed on flowers but did not observe feeding",48,"N",1090.6265091608,13087.5181099296
"235","SolAlt","GH","PCD90",NA,"PCD","M","A",1,"Black",NA,5,236,238,2,0.4627,0.5878,"Y","D4+D5 feeding; Newest method of counting just single flowering heads",46,"N",1090.6265091608,5453.13254580401
"236","SolAlt","GH","VH11","VH",NA,"M","B",1,"Black",NA,5,244,245,1,0.5466,0.6462,"N","",46,"Y",1090.6265091608,5453.13254580401
"237","SolAlt","GH","VH11","VH",NA,"M","B",1,"Black",NA,5,244,251,7,0.382,0.6462,"N","",46,"Y",1090.6265091608,5453.13254580401
"238","SolAlt","GH","TWA28",NA,"TWA","M","A",1,"White",NA,12,235,242,7,0.4396,0.6449,"N","D0 Observed on flowers but did not observe feeding",48,"N",1090.6265091608,13087.5181099296
"239","SolAlt","GH","VH22","VH",NA,"F","A",1,"Black",NA,6,237,237,0,0.5724,0.5724,"Y","Feeding D11",48,"N",1090.6265091608,6543.75905496481
"240","SolAlt","GH","MVD47",NA,"MVD","M","A",1,"Black",NA,7,237,244,7,0.4757,0.6668,"N","D3 broken/damaged forewing",50,"N",1090.6265091608,7634.38556412562
"241","SolAlt","GH","MVD47",NA,"MVD","M","A",1,"Black",NA,7,237,237,0,0.6668,0.6668,"N","D3 broken/damaged forewing",50,"N",1090.6265091608,7634.38556412562
"242","SolAlt","GH","VH11","VH",NA,"M","B",1,"Black",NA,5,244,254,10,0.5032,0.6462,"N","",46,"Y",1090.6265091608,5453.13254580401
"243","SolAlt","GH","VH26","VH",NA,"F","B",1,"Black",NA,6,243,243,0,0.5591,0.5591,"N","",49,"N",1090.6265091608,6543.75905496481
"244","SolAlt","GH","VH26","VH",NA,"F","B",1,"Black",NA,6,243,248,5,0.4189,0.5591,"N","",49,"N",1090.6265091608,6543.75905496481
"245","SolAlt","GH","VH26","VH",NA,"F","B",1,"Black",NA,6,243,250,7,0.3512,0.5591,"N","",49,"N",1090.6265091608,6543.75905496481
"246","SolAlt","GH","VH26","VH",NA,"F","B",1,"Black",NA,6,243,244,1,0.4549,0.5591,"N","",49,"N",1090.6265091608,6543.75905496481
"247","SolAlt","GH","TWA28",NA,"TWA","M","A",1,"White",NA,12,235,240,5,0.4357,0.6449,"N","D0 Observed on flowers but did not observe feeding",48,"N",1090.6265091608,13087.5181099296
"248","SolAlt","GH","VH18","VH",NA,"M","B",1,"Black",NA,6,241,241,0,0.534,0.534,"N","",46,"N",1090.6265091608,6543.75905496481
"249","SolAlt","GH","VH18","VH",NA,"M","B",1,"Black",NA,6,241,246,5,0.3805,0.534,"N","",46,"N",1090.6265091608,6543.75905496481
"250","SolAlt","GH","VH18","VH",NA,"M","B",1,"Black",NA,6,241,248,7,0.3255,0.534,"N","",46,"N",1090.6265091608,6543.75905496481
"251","SolAlt","GH","VH3","VH",NA,"F","B",1,"White",NA,10,242,242,0,0.4738,0.4738,"N","",46,"N",1090.6265091608,10906.265091608
"252","SolAlt","GH","VH3","VH",NA,"F","B",1,"White",NA,10,242,243,1,0.4173,0.4738,"N","",46,"N",1090.6265091608,10906.265091608
"253","SolAlt","GH","VH3","VH",NA,"F","B",1,"White",NA,10,242,247,5,0.4151,0.4738,"N","",46,"N",1090.6265091608,10906.265091608
"254","SolAlt","GH","VH3","VH",NA,"F","B",1,"White",NA,10,242,249,7,0.3561,0.4738,"N","",46,"N",1090.6265091608,10906.265091608
"255","SolAlt","GH","TWA38",NA,"TWA","M","A",1,"Black",NA,26,235,240,5,0.3796,0.5391,"Y","Feeding D2, D5, D7; D5 and D7 panicked weighing, cooled in fridge for weighing; Method used to count flowers was not whole heads, counted branched heads as distinct ones",48,"N",1090.6265091608,28356.2892381809
"256","SolAlt","GH","TWA38",NA,"TWA","M","A",1,"Black",NA,26,235,242,7,0.352,0.5391,"Y","Feeding D2, D5, D7; D5 and D7 panicked weighing, cooled in fridge for weighing; Method used to count flowers was not whole heads, counted branched heads as distinct ones",48,"N",1090.6265091608,28356.2892381809
"257","SolAlt","GH","PCD10",NA,"PCD","F","A",1,"Black",NA,12,234,234,0,0.4825,0.4825,"N","",44,"N",1090.6265091608,13087.5181099296
"258","SolAlt","GH","PCD10",NA,"PCD","F","A",1,"Black",NA,12,234,239,5,0.3477,0.4825,"N","",44,"N",1090.6265091608,13087.5181099296
"259","SolAlt","GH","PCD10",NA,"PCD","F","A",1,"Black",NA,12,234,241,7,0.317,0.4825,"N","",44,"N",1090.6265091608,13087.5181099296
"260","SolAlt","GH","PCD90",NA,"PCD","M","A",1,"Black",NA,5,236,243,7,0.399,0.5878,"Y","D4+D5 feeding; Newest method of counting just single flowering heads",46,"N",1090.6265091608,5453.13254580401
"261","SolAlt","GH","PCD90",NA,"PCD","M","A",1,"Black",NA,5,236,236,0,0.5878,0.5878,"Y","D4+D5 feeding; Newest method of counting just single flowering heads",46,"N",1090.6265091608,5453.13254580401
"262","SolAlt","GH","VH11","VH",NA,"M","B",1,"Black",NA,5,244,244,0,0.6462,0.6462,"N","",46,"Y",1090.6265091608,5453.13254580401
"263","SolAlt","GH","VH6","VH",NA,"M","B",1,"Black",NA,3,240,241,1,0.5161,0.5941,"N","",50,"N",1090.6265091608,3271.87952748241
"264","SolAlt","GH","VH6","VH",NA,"M","B",1,"Black",NA,3,240,245,5,0.4358,0.5941,"N","",50,"N",1090.6265091608,3271.87952748241
"265","SolAlt","GH","VH6","VH",NA,"M","B",1,"Black",NA,3,240,247,7,0.4667,0.5941,"N","",50,"N",1090.6265091608,3271.87952748241
"266","SolAlt","GH","VH6","VH",NA,"M","B",1,"Black",NA,3,240,240,0,0.5941,0.5941,"N","",50,"N",1090.6265091608,3271.87952748241
"267","SolAlt","GH","VH22","VH",NA,"F","A",1,"Black",NA,6,237,242,5,0.4053,0.5724,"Y","Feeding D11",48,"N",1090.6265091608,6543.75905496481
"268","SolAlt","GH","VH22","VH",NA,"F","A",1,"Black",NA,6,237,244,7,0.358,0.5724,"Y","Feeding D11",48,"N",1090.6265091608,6543.75905496481
"269","SolAlt","GH","VH22","VH",NA,"F","A",1,"Black",NA,6,237,248,11,0.3465,0.5724,"Y","Feeding D11",48,"N",1090.6265091608,6543.75905496481
"270","SolAlt","GH","VH22","VH",NA,"F","A",1,"Black",NA,6,237,238,1,0.4692,0.5724,"Y","Feeding D11",48,"N",1090.6265091608,6543.75905496481
"271","SymEri","GH","Jacob10",NA,"Jacob","M","A",1,"Black",NA,605,238,239,1,0.472,0.5775,"N","",45,"N",2.19078963698084,1325.42773037341
"272","SymEri","GH","Jacob10",NA,"Jacob","M","A",1,"Black",NA,605,238,243,5,0.4021,0.5775,"N","",45,"N",2.19078963698084,1325.42773037341
"273","SymEri","GH","Jacob10",NA,"Jacob","M","A",1,"Black",NA,605,238,245,7,0.4095,0.5775,"N","",45,"N",2.19078963698084,1325.42773037341
"274","SymEri","GH","Jacob10",NA,"Jacob","M","A",1,"Black",NA,605,238,248,10,0.3549,0.5775,"N","",45,"N",2.19078963698084,1325.42773037341
"275","SymEri","GH","Jacob10",NA,"Jacob","M","A",1,"Black",NA,605,238,238,0,0.5775,0.5775,"N","",45,"N",2.19078963698084,1325.42773037341
"276","SymEri","GH","PCD15",NA,"PCD","M","B",1,"Black",NA,128,241,241,0,0.516,0.516,"N","D0 fed when placed on flower",46,"N",2.19078963698084,280.421073533548
"277","SymEri","GH","PCD71",NA,"PCD","F","A",1,"Black",NA,162,235,240,5,0.4257,0.6549,"Y","Feeding D6",51,"N",2.19078963698084,354.907921190896
"278","SymEri","GH","Jacob2",NA,"Jacob","M","A",1,"White",NA,361,238,248,10,0.4071,0.6939,"Y","Feeding D3",44,"Y",2.19078963698084,790.875058950084
"279","SymEri","GH","Jacob2",NA,"Jacob","M","A",1,"White",NA,361,238,238,0,0.6939,0.6939,"Y","Feeding D3",44,"Y",2.19078963698084,790.875058950084
"280","SymEri","GH","Jacob2",NA,"Jacob","M","A",1,"White",NA,361,238,239,1,0.5728,0.6939,"Y","Feeding D3",44,"Y",2.19078963698084,790.875058950084
"281","SymEri","GH","Jacob2",NA,"Jacob","M","A",1,"White",NA,361,238,243,5,0.4781,0.6939,"Y","Feeding D3",44,"Y",2.19078963698084,790.875058950084
"282","SymEri","GH","Jacob2",NA,"Jacob","M","A",1,"White",NA,361,238,245,7,0.4865,0.6939,"Y","Feeding D3",44,"Y",2.19078963698084,790.875058950084
"283","SymEri","GH","MVD61",NA,"MVD","M","A",1,"Black",NA,221,237,237,0,0.5563,0.5563,"Y","Feeding D3 + D4",49,"N",2.19078963698084,484.164509772766
"284","SymEri","GH","MVD61",NA,"MVD","M","A",1,"Black",NA,221,237,242,5,0.4074,0.5563,"Y","Feeding D3 + D4",49,"N",2.19078963698084,484.164509772766
"285","SymEri","GH","MVD17",NA,"MVD","M","A",1,"Black",NA,440,236,236,0,0.6631,0.6631,"Y","Feeding d5",52,"N",2.19078963698084,963.947440271571
"286","SymEri","GH","MVD17",NA,"MVD","M","A",1,"Black",NA,440,236,238,2,0.5425,0.6631,"Y","",52,"N",2.19078963698084,963.947440271571
"287","SymEri","GH","MVD17",NA,"MVD","M","A",1,"Black",NA,440,236,241,5,0.4689,0.6631,"Y","",52,"N",2.19078963698084,963.947440271571
"288","SymEri","GH","MVD17",NA,"MVD","M","A",1,"Black",NA,440,236,243,7,0.412,0.6631,"Y","Feeding D3 + D4",52,"N",2.19078963698084,963.947440271571
"289","SymEri","GH","PCD20",NA,"PCD","F","A",1,"Black",NA,148,232,232,0,0.5,0.5,"N","",47,"N",2.19078963698084,324.236866273165
"290","SymEri","GH","PCD15",NA,"PCD","M","B",1,"Black",NA,128,241,242,1,0.4355,0.516,"N","D0 fed when placed on flower",46,"N",2.19078963698084,280.421073533548
"291","SymEri","GH","PCD15",NA,"PCD","M","B",1,"Black",NA,128,241,246,5,0.3847,0.516,"N","D0 fed when placed on flower",46,"N",2.19078963698084,280.421073533548
"292","SymEri","GH","PCD15",NA,"PCD","M","B",1,"Black",NA,128,241,248,7,0.3626,0.516,"N","D0 fed when placed on flower",46,"N",2.19078963698084,280.421073533548
"293","SymEri","GH","Jacob4",NA,"Jacob","M","A",1,"White",NA,386,238,243,5,0.5051,0.6572,"Y","Feeding D7",48,"Y",2.19078963698084,845.644799874605
"294","SymEri","GH","PCD20",NA,"PCD","F","A",1,"Black",NA,148,232,237,5,0.3922,0.5,"N","",47,"N",2.19078963698084,324.236866273165
"295","SymEri","GH","PCD20",NA,"PCD","F","A",1,"Black",NA,148,232,239,7,0.3812,0.5,"N","",47,"N",2.19078963698084,324.236866273165
"296","SymEri","GH","Jacob4",NA,"Jacob","M","A",1,"White",NA,386,238,238,0,0.6572,0.6572,"Y","Feeding D7",48,"Y",2.19078963698084,845.644799874605
"297","SymEri","GH","TWA44",NA,"TWA","M","A",1,"Black",NA,249,235,242,7,0.3383,0.4913,"Y","Feeding days 2, 3, 5, 6, 7",44,"N",2.19078963698084,545.50661960823
"298","SymEri","GH","Jacob4",NA,"Jacob","M","A",1,"White",NA,386,238,245,7,0.5798,0.6572,"Y","Feeding D7",48,"Y",2.19078963698084,845.644799874605
"299","SymEri","GH","Jacob4",NA,"Jacob","M","A",1,"White",NA,386,238,248,10,0.4498,0.6572,"Y","Feeding D7",48,"Y",2.19078963698084,845.644799874605
"300","SymEri","GH","Jacob4",NA,"Jacob","M","A",1,"White",NA,386,238,239,1,0.5483,0.6572,"Y","Feeding D7",48,"Y",2.19078963698084,845.644799874605
"301","SymEri","GH","PCD71",NA,"PCD","F","A",1,"Black",NA,162,235,242,7,0.4984,0.6549,"Y","Feeding D6",51,"N",2.19078963698084,354.907921190896
"302","SymEri","GH","PCD71",NA,"PCD","F","A",1,"Black",NA,162,235,235,0,0.6549,0.6549,"Y","Feeding D6",51,"N",2.19078963698084,354.907921190896
"303","SymEri","GH","S473","S47",NA,"F","B",1,"Black",NA,317,243,243,0,0.6218,0.6218,"N","Stressed when weighing on D5, cooled to weigh",47,"N",2.19078963698084,694.480314922927
"304","SymEri","GH","S473","S47",NA,"F","B",1,"Black",NA,317,243,248,5,0.4603,0.6218,"N","Stressed when weighing on D5, cooled to weigh",47,"N",2.19078963698084,694.480314922927
"305","SymEri","GH","S473","S47",NA,"F","B",1,"Black",NA,317,243,244,1,0.4933,0.6218,"N","Stressed when weighing on D5, cooled to weigh",47,"N",2.19078963698084,694.480314922927
"306","SymEri","GH","VH7","VH",NA,"M","B",1,"Black",NA,637,242,247,5,0.3566,0.5708,"N","Tattered/damaged wing D7",48,"N",2.19078963698084,1395.5329987568
"307","SymEri","GH","TWA65",NA,"TWA","F","A",1,"Black",NA,282,234,234,0,0.678,0.678,"N","Fed when placed on flower, no natural feeding observed, D7 forewing tip broken",48,"N",2.19078963698084,617.802677628598
"308","SymEri","GH","TWA65",NA,"TWA","F","A",1,"Black",NA,282,234,241,7,0.3375,0.678,"N","Fed when placed on flower, no natural feeding observed, D7 forewing tip broken",48,"N",2.19078963698084,617.802677628598
"309","SymEri","GH","TWA65",NA,"TWA","F","A",1,"Black",NA,282,234,239,5,0.3712,0.678,"N","Fed when placed on flower, no natural feeding observed, D7 forewing tip broken",48,"N",2.19078963698084,617.802677628598
"310","SymEri","GH","MVD61",NA,"MVD","M","A",1,"Black",NA,221,237,238,1,0.4752,0.5563,"Y","Feeding D3 + D4",49,"N",2.19078963698084,484.164509772766
"311","SymEri","GH","PCD53",NA,"PCD","F","B",1,"Black",NA,168,240,241,1,0.3889,0.4613,"N","Caterpillar had forked antenna",45,"N",2.19078963698084,368.052659012782
"312","SymEri","GH","PCD53",NA,"PCD","F","B",1,"Black",NA,168,240,245,5,0.2909,0.4613,"N","Caterpillar had forked antenna",45,"N",2.19078963698084,368.052659012782
"313","SymEri","GH","MVD61",NA,"MVD","M","A",1,"Black",NA,221,237,244,7,0.4105,0.5563,"Y","Feeding D3 + D4",49,"N",2.19078963698084,484.164509772766
"314","SymEri","GH","S473","S47",NA,"F","B",1,"Black",NA,317,243,250,7,0.3498,0.6218,"N","Stressed when weighing on D5, cooled to weigh",47,"N",2.19078963698084,694.480314922927
"315","SymEri","GH","TWA44",NA,"TWA","M","A",1,"Black",NA,249,235,240,5,0.327,0.4913,"Y","Feeding days 2, 3, 5, 6, 7",44,"N",2.19078963698084,545.50661960823
"316","SymEri","GH","VH7","VH",NA,"M","B",1,"Black",NA,637,242,243,1,0.5001,0.5708,"N","Tattered/damaged wing D7",48,"N",2.19078963698084,1395.5329987568
"317","SymEri","GH","PCD53",NA,"PCD","F","B",1,"Black",NA,168,240,247,7,0.3312,0.4613,"N","Caterpillar had forked antenna",45,"N",2.19078963698084,368.052659012782
"318","SymEri","GH","MVD61",NA,"MVD","M","A",1,"Black",NA,221,237,247,10,0.4311,0.5563,"Y","Feeding D3 + D4",49,"N",2.19078963698084,484.164509772766
